Date,Open,High,Low,Close,Volume,ticker
2016-04-08,394.2729434786956,406.16145632461183,393.9180677516335,404.4314270019531,2043759,TECHM.NS
2016-04-11,404.43142349202924,418.22741694204564,400.1284842661286,416.6304626464844,1008816,TECHM.NS
2016-04-12,416.76353508269676,419.3807942970436,408.20203307136035,412.0613708496094,1901106,TECHM.NS
2016-04-13,416.54176739118407,419.2921018348089,413.3478314913386,418.2274475097656,1062026,TECHM.NS
2016-04-18,421.42134032021755,427.631760072305,418.9815325604689,422.9295959472656,1780726,TECHM.NS
2016-04-20,425.85736820135804,433.3985924299238,422.3085567996801,429.0069274902344,1450742,TECHM.NS
2016-04-21,429.40617592231985,431.62418302935663,420.62287319351066,422.61907958984375,1179377,TECHM.NS
2016-04-22,423.2401126792775,432.7331940922445,421.0664819218309,425.7686462402344,2058353,TECHM.NS
2016-04-25,427.45431199776,430.02722186097577,416.18685231948774,418.7597351074219,784214,TECHM.NS
2016-04-26,418.93720111038954,423.1957640061243,413.170382523304,421.8649597167969,1123091,TECHM.NS
2016-04-27,423.1957795765478,429.49492552618204,420.00184374959264,425.1919860839844,955123,TECHM.NS
2016-04-28,425.8573424760011,429.22870227382384,415.38836030357834,425.99041748046875,4152895,TECHM.NS
2016-04-29,423.19572907069437,433.8421625064351,422.30852628438265,431.3136291503906,2295767,TECHM.NS
2016-05-02,430.2933706766499,430.2933706766499,421.95366952601444,423.3731994628906,1076011,TECHM.NS
2016-05-03,423.37321885325736,428.8738603820682,412.54933304853745,414.5011901855469,1721645,TECHM.NS
2016-05-04,411.66215947200374,417.96130568932625,407.8471977035624,414.2794189453125,1379336,TECHM.NS
2016-05-05,414.14625871353604,427.6317521851725,412.5493044939942,425.2806701660156,1484568,TECHM.NS
2016-05-06,421.5988225637789,424.97018270291625,417.34023246271323,419.6913146972656,948747,TECHM.NS
2016-05-09,421.51008539138724,426.43405044817933,420.53415682757475,424.61529541015625,827632,TECHM.NS
2016-05-10,425.3694591062028,430.82575175538176,421.99807169939004,428.25286865234375,2296911,TECHM.NS
2016-05-11,423.99418449907444,429.0512509527695,418.3160923718611,420.44537353515625,1749723,TECHM.NS
2016-05-12,418.31617890758486,429.7610912187376,418.31617890758486,426.92205810546875,1123199,TECHM.NS
2016-05-13,427.6317888097038,428.96259313172567,422.48602292799904,425.679931640625,1078921,TECHM.NS
2016-05-16,424.97019405030386,439.0767149095682,423.9499161184758,432.0234680175781,1732776,TECHM.NS
2016-05-17,433.84216406598614,438.1894523194849,427.4542931514668,429.22869873046875,868879,TECHM.NS
2016-05-18,426.7889024815827,431.4023679405712,425.85735035778754,430.0715637207031,1371699,TECHM.NS
2016-05-19,429.5836098387199,432.51136827074794,426.8776250330882,429.4061584472656,1292336,TECHM.NS
2016-05-20,427.897918136818,434.2414400917016,421.28827323580504,422.17547607421875,741237,TECHM.NS
2016-05-23,424.1717346731286,426.7446178061753,419.4695428055609,422.7078552246094,1069529,TECHM.NS
2016-05-24,422.3085505392699,430.9144288908762,412.19444360947824,426.07916259765625,2610091,TECHM.NS
2016-05-25,442.80295967830165,471.99192880794703,438.72182104422893,468.88671875,10804773,TECHM.NS
2016-05-26,470.21748234645577,485.2999298934175,461.56725507687474,481.13006591796875,3270866,TECHM.NS
2016-05-27,478.2023335268752,479.97673921714187,473.4114165029294,475.4520263671875,1572528,TECHM.NS
2016-05-30,475.3633131206525,500.3824462639645,474.65356161564006,482.2391357421875,2901801,TECHM.NS
