Date,Open,High,Low,Close,Volume,ticker
2016-04-08,1112.3077644456853,1115.780885075989,1094.7165224289042,1096.994384765625,1399500,TCS.NS
2016-04-11,1097.4228491148253,1135.3116774443138,1088.4016995125662,1130.6431884765625,2400648,TCS.NS
2016-04-12,1126.7416794013618,1138.9202323812804,1122.2762540239773,1135.8304443359375,1303628,TCS.NS
2016-04-13,1141.1755885464006,1147.9414517196005,1133.2820815110006,1139.4615478515625,1601468,TCS.NS
2016-04-18,1106.4440362057715,1151.775314493044,1100.5802887656266,1136.5521240234375,7121504,TCS.NS
2016-04-20,1143.3857287662815,1143.3857287662815,1100.580411719706,1105.2489013671875,6405024,TCS.NS
2016-04-21,1105.5419974961587,1112.939296882471,1088.0409434429585,1093.5438232421875,2525724,TCS.NS
2016-04-22,1091.107933527248,1098.505231400889,1084.432261475591,1090.2283935546875,1964126,TCS.NS
2016-04-25,1083.5754211599763,1108.2708185302793,1083.5754211599763,1105.6546630859375,2267654,TCS.NS
2016-04-26,1104.6399210705474,1124.711981702495,1101.4825182745108,1123.0430908203125,2554368,TCS.NS
2016-04-27,1118.6227011979818,1134.2293361584448,1116.7733212320907,1132.650634765625,1848670,TCS.NS
2016-04-28,1128.2303159617843,1145.6862218051501,1126.7869537696322,1140.1607666015625,4992744,TCS.NS
2016-04-29,1135.3118077306158,1146.5882460275031,1132.1544050074874,1143.6563720703125,2372178,TCS.NS
2016-05-02,1140.7244660371853,1141.1755235563774,1127.64379798061,1139.68701171875,1116692,TCS.NS
2016-05-03,1138.9204262771398,1141.1757142499657,1115.014373765184,1117.765869140625,2153118,TCS.NS
2016-05-04,1115.8712010971715,1124.9600765761272,1108.2483727406645,1117.7205810546875,1364892,TCS.NS
2016-05-05,1117.720679925154,1123.1107959658725,1111.2029199377796,1114.24755859375,1246566,TCS.NS
2016-05-06,1111.8567907499382,1120.5622229411579,1096.5208350154564,1115.6456298828125,885598,TCS.NS
2016-05-09,1115.6458382288984,1135.7630514978275,1107.9778589296677,1133.3048095703125,1821276,TCS.NS
2016-05-10,1134.4097119471464,1142.957230297166,1125.839618695856,1137.9730224609375,1158534,TCS.NS
2016-05-11,1127.643576216556,1139.190690485591,1123.13300191169,1135.89794921875,1598716,TCS.NS
2016-05-12,1136.9130524690918,1159.1726749770587,1136.9130524690918,1157.5037841796875,1513082,TCS.NS
2016-05-13,1156.962522951677,1157.4135804654984,1132.2219742699926,1138.198486328125,1621730,TCS.NS
2016-05-16,1144.7838483335581,1156.8722104426945,1137.7924576128448,1150.7152099609375,1111526,TCS.NS
2016-05-17,1156.6016383542635,1168.8027659527074,1151.098758788735,1159.3079833984375,1756698,TCS.NS
2016-05-18,1157.3462149952586,1157.3462149952586,1139.3941000568482,1150.693115234375,1500740,TCS.NS
2016-05-19,1152.451880821906,1154.7071682599135,1139.4163634788044,1153.3314208984375,1038792,TCS.NS
2016-05-20,1146.7234886309457,1157.323339736345,1137.9278675009334,1140.8597412109375,1230918,TCS.NS
2016-05-23,1147.4902014007084,1148.3471665434251,1118.7127128475795,1123.787109375,1533016,TCS.NS
2016-05-24,1120.4269672058892,1122.3439618156417,1109.4212069067237,1113.07470703125,1339158,TCS.NS
2016-05-25,1119.0735571670002,1142.5059701668238,1119.0735571670002,1139.5740966796875,1548678,TCS.NS
2016-05-26,1141.1753550825113,1156.9172161297342,1129.9440685613063,1149.610107421875,1943248,TCS.NS
2016-05-27,1151.617706578826,1163.6610330058259,1150.4675977568777,1160.413330078125,1104676,TCS.NS
2016-05-30,1165.081781093158,1191.6716045955518,1164.6307234930446,1189.168212890625,1349464,TCS.NS
2016-05-31,1190.7915975485978,1193.9489995117947,1155.6091185301163,1158.9468994140625,3722608,TCS.NS
2016-06-01,1159.7590875945718,1193.047155002294,1159.6688981137609,1187.882568359375,1911942,TCS.NS
2016-06-02,1172.7497449565703,1197.2421943466907,1172.7497449565703,1195.3702392578125,1408756,TCS.NS
