Date,Open,High,Low,Close,Volume,ticker
2016-04-08,501.5584138816503,510.53990702755453,499.28280595438184,501.77630615234375,6189521,RELIANCE.NS
2016-04-11,502.0910152118471,506.20650604462827,500.1542978501159,503.6888122558594,4757307,RELIANCE.NS
2016-04-12,503.6888146302019,511.9924072013205,502.59941297358705,507.12646484375,5152580,RELIANCE.NS
2016-04-13,509.61990152652095,518.0203875844223,509.61990152652095,516.1563110351562,7401784,RELIANCE.NS
2016-04-18,516.0353119232059,516.5194838311528,510.9998644167363,515.5269165039062,8798824,RELIANCE.NS
2016-04-20,517.681529848019,517.681529848019,501.51000995038504,502.2362976074219,10008978,RELIANCE.NS
2016-04-21,504.2213705369737,509.3536521450727,501.1226704951436,504.1003723144531,5252190,RELIANCE.NS
2016-04-22,503.0593187229827,507.1748092264508,498.36282200705887,503.03509521484375,5401895,RELIANCE.NS
2016-04-25,505.6980782246175,505.6980782246175,490.13181895825477,492.3590393066406,28224196,RELIANCE.NS
2016-04-26,491.6327882820568,495.7482789074614,487.80780077148734,492.38323974609375,12197088,RELIANCE.NS
2016-04-27,492.8432307194521,496.740859025851,491.92330416526335,493.5694885253906,6692966,RELIANCE.NS
2016-04-28,490.9549379857689,493.47266158284685,479.7946717880976,482.5787048339844,28589468,RELIANCE.NS
2016-04-29,481.0051242930853,483.4744306663246,473.93615531487006,475.80023193359375,10835868,RELIANCE.NS
2016-05-02,474.00876011950334,480.49672276975315,473.52458825484405,477.85797119140625,4901531,RELIANCE.NS
2016-05-03,478.36633822020457,481.73137743790744,470.9826725133391,472.45941162109375,8109395,RELIANCE.NS
2016-05-04,471.612087109669,476.2843902785387,471.10369174376103,473.572998046875,6251608,RELIANCE.NS
2016-05-05,474.4929465781966,476.16335447860195,470.08695264237383,472.193115234375,9998709,RELIANCE.NS
2016-05-06,471.1037027309858,472.94358566278095,468.19864168872965,469.1427917480469,6806351,RELIANCE.NS
2016-05-09,472.0720447012646,477.39799489745565,471.0068665947896,475.993896484375,7082682,RELIANCE.NS
2016-05-10,475.99390954753756,476.768584555325,473.5246031283063,475.72760009765625,3345090,RELIANCE.NS
2016-05-11,470.522698504728,474.8560814932577,469.6511891378899,472.2657470703125,5694872,RELIANCE.NS
2016-05-12,472.5562520503059,481.3682397912384,472.09627385560117,480.6903991699219,5900836,RELIANCE.NS
2016-05-13,478.8263142814829,479.6009892639035,472.07204219873364,473.5971984863281,6760184,RELIANCE.NS
2016-05-16,473.0404388550212,475.70341406902054,470.1837948859608,472.53204345703125,4304563,RELIANCE.NS
2016-05-17,474.6140222694719,475.9939270939146,467.8839732274137,469.2396545410156,5610730,RELIANCE.NS
2016-05-18,467.66606629898854,470.8616305556558,466.79455691041807,469.91748046875,3797607,RELIANCE.NS
2016-05-19,470.47428852952794,470.5711229051054,457.83728318903104,460.5486755371094,4215701,RELIANCE.NS
2016-05-20,460.936006266183,462.14643594311497,450.93775272304663,452.3176574707031,8558338,RELIANCE.NS
2016-05-23,453.8427966844309,455.4647873063773,448.17792634595503,450.28411865234375,8475783,RELIANCE.NS
2016-05-24,449.339989602032,457.06260559027737,449.339989602032,455.3437805175781,5668703,RELIANCE.NS
2016-05-25,459.895028586007,461.32335054172927,455.6827034164776,460.5486755371094,4264311,RELIANCE.NS
2016-05-26,459.9676611872664,461.12967367374245,457.1110173261046,458.4425048828125,6548694,RELIANCE.NS
2016-05-27,459.50767566724534,472.99199625760156,459.36242410875224,471.9267883300781,6184833,RELIANCE.NS
2016-05-30,472.7499429748095,475.219249471629,467.23032370707426,469.02178955078125,4445929,RELIANCE.NS
2016-05-31,469.16699275299,471.10368013365866,463.114785024587,463.7684020996094,10768049,RELIANCE.NS
2016-06-01,463.8168253115978,467.7628706488506,460.8391535091704,461.7106628417969,4173254,RELIANCE.NS
2016-06-02,462.1464282208362,463.4294985728986,457.59518287971343,462.9937438964844,4732138,RELIANCE.NS
2016-06-03,464.80939884764405,466.21352706788844,462.8000707207943,464.63995361328125,3988879,RELIANCE.NS
2016-06-06,465.2935824392192,466.2619560116411,461.202315219595,462.29168701171875,4002515,RELIANCE.NS
2016-06-07,463.4779283710269,465.26939414360794,460.7423423564782,462.4127502441406,8747391,RELIANCE.NS
2016-06-08,463.8410588826248,463.8410588826248,459.55609315639316,461.9527587890625,5600539,RELIANCE.NS
