Date,Open,High,Low,Close,Volume,ticker
2016-04-08,832.4594390900955,833.8630162395596,822.3924641014283,824.280029296875,448087,ASIANPAINT.NS
2016-04-11,822.7796510208485,834.2985897673684,815.7618245856708,832.4594116210938,651373,ASIANPAINT.NS
2016-04-12,834.2017753050387,842.1391909902566,831.9754421334776,839.1384887695312,433486,ASIANPAINT.NS
2016-04-13,842.6230477440341,847.9469153633244,838.2671560555239,846.3497314453125,692424,ASIANPAINT.NS
2016-04-18,855.9327669527868,858.159099907939,846.97898906835,856.8523559570312,685762,ASIANPAINT.NS
2016-04-20,856.6587365061004,859.3206704330968,847.2209707649315,857.43310546875,778272,ASIANPAINT.NS
2016-04-21,861.4986593065242,866.3385394149878,856.7555531680028,860.6759033203125,702226,ASIANPAINT.NS
2016-04-22,857.3363492724974,865.0801572206187,841.5583523943134,843.6394653320312,692414,ASIANPAINT.NS
2016-04-25,842.5262747201274,842.5262747201274,828.5873976691688,834.1532592773438,587700,ASIANPAINT.NS
2016-04-26,836.5248091277537,851.8188169801485,831.5397094643382,848.818115234375,694778,ASIANPAINT.NS
2016-04-27,847.6565089584308,862.4665284387415,843.1070104042019,861.3533325195312,553126,ASIANPAINT.NS
2016-04-28,861.353305314492,865.8544167475832,842.1390079043011,845.1397094726562,1013142,ASIANPAINT.NS
2016-04-29,845.0429313362418,847.9468589353355,834.0564288852277,838.5090942382812,955985,ASIANPAINT.NS
2016-05-02,836.3312218754294,839.7191377047859,833.0885260709849,837.1055908203125,199724,ASIANPAINT.NS
2016-05-03,841.6551332386261,858.4979392956395,837.6864552650122,844.0750732421875,1073196,ASIANPAINT.NS
2016-05-04,844.0749804619026,850.8508117270784,836.3311733017017,845.6237182617188,469904,ASIANPAINT.NS
2016-05-05,846.1077882413767,847.4145912746943,834.8309034193495,839.2835693359375,402567,ASIANPAINT.NS
2016-05-06,836.2827482308032,861.4985073315304,833.9111955799027,860.5789184570312,1249025,ASIANPAINT.NS
2016-05-09,866.2901316674584,884.6332886550148,865.0317746855306,877.5670166015625,1355429,ASIANPAINT.NS
2016-05-10,875.969792034511,879.1641006501585,864.8380693177735,869.5811157226562,1034271,ASIANPAINT.NS
2016-05-11,863.4345217838065,889.5698716584285,859.0786301380363,878.7769165039062,2228431,ASIANPAINT.NS
2016-05-12,890.5379143784781,903.9928043257706,887.8275934117003,899.0560913085938,2382775,ASIANPAINT.NS
2016-05-13,899.007616426021,917.6411524865333,897.8944205096623,913.4304809570312,2285317,ASIANPAINT.NS
2016-05-16,918.5608110694293,927.1273747952222,914.7372941613194,922.142333984375,1913343,ASIANPAINT.NS
2016-05-17,922.9651852556841,940.8727425993969,917.3993228380436,938.5980224609375,1770437,ASIANPAINT.NS
2016-05-18,937.9686937329678,939.9046456292175,921.9487036076143,932.40283203125,1273835,ASIANPAINT.NS
2016-05-19,937.823522797456,937.823522797456,921.5615378338628,926.159423828125,1251713,ASIANPAINT.NS
2016-05-20,925.385009765625,932.1608414270888,920.3031360195272,925.385009765625,972841,ASIANPAINT.NS
2016-05-23,929.1601381431052,929.2569121058909,913.4305289538128,916.2860107421875,726047,ASIANPAINT.NS
2016-05-24,921.9003911260997,931.5801513895801,911.5430358280621,925.6270751953125,490332,ASIANPAINT.NS
2016-05-25,932.3060556299953,953.4563064089742,931.9672286007,950.7943725585938,815313,ASIANPAINT.NS
2016-05-26,956.8926052712702,967.4919536481099,942.2761921850496,960.0869140625,1410903,ASIANPAINT.NS
2016-05-27,960.1352981861794,969.7182239416793,954.8598178285624,966.2819213867188,1105534,ASIANPAINT.NS
2016-05-30,962.168115815213,972.0898695245752,947.1161012722449,953.3595581054688,1487177,ASIANPAINT.NS
2016-05-31,956.3601828532388,963.62000205506,949.2939706462449,953.31103515625,1151373,ASIANPAINT.NS
2016-06-01,957.3765803654019,992.1753268146729,957.3765803654019,988.9810180664062,2068760,ASIANPAINT.NS
2016-06-02,974.751881507466,996.0473545890591,964.6365199775954,991.2559204101562,2420319,ASIANPAINT.NS
2016-06-03,990.7234162827241,999.0479860848228,981.0436564753696,992.4658203125,2045789,ASIANPAINT.NS
2016-06-06,984.5283271102705,999.2899605276564,984.0443391293727,993.4337768554688,1574228,ASIANPAINT.NS
2016-06-07,992.5141392337426,1004.2266248624309,991.7881572547603,999.6771850585938,755934,ASIANPAINT.NS
2016-06-08,996.0472241428835,996.0472241428835,978.8656515203993,985.4478759765625,933533,ASIANPAINT.NS
2016-06-09,985.3995426274168,986.3675186024929,963.8136901993339,966.8143920898438,1024252,ASIANPAINT.NS
2016-06-10,963.0876714308463,967.0079621640475,957.9089647136623,960.280517578125,1313970,ASIANPAINT.NS
2016-06-13,955.3922729211884,964.5880445450498,953.5530949641904,963.039306640625,808571,ASIANPAINT.NS
2016-06-14,963.1360596445569,967.007963401922,947.2612306071352,954.9082641601562,699283,ASIANPAINT.NS
2016-06-15,954.4242599823716,969.9118747488199,954.4242599823716,966.4271850585938,731016,ASIANPAINT.NS
2016-06-16,967.0598467284143,981.900261986385,959.7126366274133,979.5160522460938,740810,ASIANPAINT.NS
2016-06-17,982.8732624122222,987.592976597143,967.3029929086623,972.7525634765625,365441,ASIANPAINT.NS
2016-06-20,968.227529602453,970.222458585969,959.7611833304031,964.8701782226562,627622,ASIANPAINT.NS
2016-06-21,963.4105013782864,964.3836432988705,950.9542966739834,955.6740112304688,712870,ASIANPAINT.NS
